Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds
Tesla Model 3,57.5,225,405,142,680,42990.00
Tesla Model Y Long Range Dual Motor,75,217,435,172,670,52990.00
Tesla Model 3 Long Range Dual Motor,75,233,485,155,750,50990.00
BYD ATTO 3,60.5,160,330,183,370,37195.00
Tesla Model 3,57.5,201,420,137,700,44000.00
Tesla Model Y,57.5,217,350,164,580,44990.00
Tesla Model 3 Long Range Dual Motor,75,201,505,149,780,52000.00
MG MG4 Electric 64 kWh,61.7,160,360,171,560,29495.00
Tesla Model 3 Performance,75,261,460,163,710,57990.00
BMW i4 eDrive40,80.7,190,515,157,800,57890.00
Tesla Model Y Performance,75,250,415,181,640,59990.00
Tesla Model S Plaid,95,282,560,170,780,100000.00
BMW iX1 xDrive30,64.7,180,370,175,530,53295.00
Smart #1,62,180,335,185,520,35950.00
Tesla Model S Dual Motor,95,250,575,165,800,85000.00
Renault Megane E-Tech EV60 220hp,60,160,380,158,530,36995.00
Mercedes EQE 350+,90.6,210,525,173,780,
BYD HAN,85.4,180,475,180,450,
BMW iX xDrive40,71,200,360,197,480,69905.00
Hyundai Kona Electric 64 kWh,64,167,395,162,370,
Volvo EX30 Single Motor ER,64,180,370,173,550,38545.00
Skoda Enyaq iV 80,77,160,440,175,680,42925.00
BYD TANG,86.4,180,360,240,330,
Kia Niro EV,64.8,167,385,168,390,37295.00
Mercedes EQS 450+,107.8,210,635,170,950,105610.00
Mercedes EQC 400 4MATIC,80,180,370,216,440,
Tesla Model 3 Long Range RWD,75,233,495,152,770,46990.00
Audi e-tron GT RS,85,250,405,210,1000,119000.00
Dacia Spring Electric 45,25,125,165,152,180,
Hyundai IONIQ 6 Long Range AWD,74,185,440,168,1150,50540.00
Hongqi E-HS9 99 kWh,90,200,370,243,430,
Renault Zoe ZE50 R110,52,135,315,165,230,
MG ZS EV Long Range,68.3,175,370,185,420,32995.00
Peugeot e-208,46.3,150,285,162,460,31595.00
Audi Q4 e-tron 40,76.6,160,405,189,630,50630.00
Volkswagen ID.4 Pro Performance,77,160,410,188,630,46035.00
BMW iX xDrive50,105.2,200,505,208,680,102755.00
BMW i7 xDrive60,101.7,240,510,199,760,113970.00
BMW i4 M50,80.7,225,450,179,700,71085.00
Volkswagen ID.4 Pro,77,160,410,188,630,44605.00
BMW i4 eDrive35,67,190,430,156,580,49995.00
Zeekr 001 Performance AWD,94,200,505,186,700,
BMW iX3,74,180,385,192,520,64165.00
MG MG4 Electric 51 kWh,50.8,160,300,169,340,26995.00
Volkswagen ID.3 Pro,58,160,350,166,450,37115.00
Toyota bZ4X FWD,64,160,340,188,510,46110.00
Lexus RZ 450e,64,160,320,200,480,64500.00
Kia EV6 GT,74,260,360,206,940,62645.00
Mini Cooper SE,28.9,150,180,161,260,32550.00
Jeep Avenger Electric,50.8,150,300,169,480,35700.00
Volkswagen ID.7 Pro,77,180,475,162,710,53000.00
Kia EV6 Long Range 2WD,74,185,410,180,1070,45245.00
Volkswagen ID. Buzz Pro,77,145,345,223,480,58915.00
Audi Q8 e-tron 55 quattro,106,200,495,214,630,77800.00
Volvo EX30 Single Motor,49,180,280,175,430,33795.00
Fiat 500e Hatchback 42 kWh,37.3,150,235,159,390,31195.00
Opel Astra Electric,50.8,170,310,164,500,39995.00
Tesla Model X Dual Motor,95,250,475,200,660,105000.00
Nissan Leaf,39,144,235,166,230,28995.00
Volkswagen ID.4 Pure,52,160,285,182,360,38845.00
Nissan Ariya 87kWh,87,160,450,193,540,44645.00
MG MG4 Electric 77 kWh,74.4,180,425,175,430,36495.00
CUPRA Born 150 kW - 58 kWh,58,160,350,166,470,36475.00
Hyundai Kona Electric 65 kWh,65.4,170,390,168,400,38595.00
BMW i5 eDrive40 Sedan,81.2,193,475,171,710,74105.00
BYD DOLPHIN 60.4 kWh,60.5,160,340,178,340,31000.00
Opel Mokka-e,46.3,150,260,178,420,38835.00
Hyundai IONIQ 6 Long Range 2WD,74,185,495,149,1290,47040.00
MG MG4 Electric XPOWER,61.7,200,320,193,490,36495.00
MG MG5 Electric Long Range,57.4,185,335,171,330,30995.00
Mercedes EQA 250+,70.5,160,420,168,580,49750.00
Skoda Enyaq iV 60,58,160,340,171,460,38970.00
Mercedes EQS 580 4MATIC,107.8,210,595,181,890,
Tesla Model X Plaid,95,262,455,209,630,120000.00
Volkswagen ID.7 Pro S,86,180,520,165,800,56000.00
Rolls-Royce Spectre,100,250,455,220,540,350000.00
Fisker Ocean Ultra,106.5,200,535,199,640,49880.00
Hyundai IONIQ 5 Long Range 2WD,74,185,390,190,1020,46945.00
Citroen e-C4,46.3,150,290,160,460,31995.00
Volkswagen e-Up!,32.3,130,205,158,170,
BYD DOLPHIN 44.9 kWh Active,44.9,150,255,176,260,26000.00
Polestar 2 Long Range Single Motor,79,205,455,174,680,48950.00
Lucid Air Dream Edition R,118,270,685,172,870,
Volvo EX30 Twin Motor Performance,64,180,360,178,540,40995.00
Kia EV9 99.8 kWh AWD,95,200,420,226,760,
Mercedes EQB 250,66.5,160,385,173,550,
Renault Zoe ZE50 R135,52,140,310,168,230,29995.00
Lotus Eletre,109,250,495,220,1040,89500.00
Kia EV6 Long Range AWD,74,185,400,185,1050,51745.00
CUPRA Born 170 kW - 77 kWh,77,160,450,171,630,41975.00
Opel Corsa-e,46.3,150,295,157,470,33930.00
BMW iX M60,105.2,250,485,217,650,122775.00
Volvo XC40 Recharge Twin Motor,79,180,390,203,580,51755.00
Hyundai IONIQ 5 Long Range AWD,74,185,385,192,1010,50445.00
Tesla Model Y,57.5,217,350,164,580,44990.00
Mazda MX-30,30,140,170,176,210,31250.00
Polestar 4 Long Range Dual Motor,94,200,475,198,710,60000.00
Mercedes EQB 350 4MATIC,66.5,160,340,196,490,56810.00
MG Marvel R Performance,70,200,350,200,380,
Subaru Solterra AWD,64,160,320,200,480,49995.00
Audi Q4 e-tron 35,52,160,285,182,360,
Mercedes EQE 300,89,210,515,173,650,74345.00
NIO ET5 100 kWh,90,200,500,180,520,
Maxus MIFA 9,90,180,345,261,290,65290.00
Zeekr 001 Long Range RWD,94,200,530,177,740,
Honda e:Ny1,62,160,360,172,320,
Polestar 4 Long Range Single Motor,94,180,510,184,760,55000.00
Hyundai IONIQ 5 Standard Range 2WD,54,185,295,183,720,43445.00
Audi e-tron GT quattro,85,245,420,202,1030,87800.00
Hyundai Kona Electric 39 kWh,39.2,155,250,157,220,
Fisker Ocean One,106.5,205,530,201,630,60880.00
Audi Q8 e-tron Sportback 55 quattro,106,200,525,202,660,80300.00
Skoda Enyaq Coupe iV RS,77,180,435,177,600,54370.00
Volvo XC40 Recharge Single Motor ER,79,180,405,195,600,
Audi Q8 e-tron 50 quattro,89,200,420,212,650,67800.00
BMW iX1 eDrive20,64.7,170,385,168,550,44560.00
Smart #1 Brabus,62,180,315,197,490,43450.00
Volkswagen ID.3 Pro S - 4 Seats,77,160,455,169,680,42870.00
Zeekr X Privilege AWD,64,180,350,183,520,
Peugeot e-308,50.8,170,300,169,450,37000.00
Mercedes EQS SUV 580 4MATIC,108.4,210,485,224,630,139470.00
Nissan Leaf e+,59,157,340,174,240,34945.00
Mercedes EQE SUV 350+,90.6,210,450,201,670,
Audi Q4 e-tron 50 quattro,76.6,180,385,199,550,57010.00
MG Marvel R,70,200,365,192,400,
Volkswagen ID.4 GTX,77,180,400,193,560,52865.00
Mercedes EQB 300 4MATIC,66.5,160,340,196,490,55310.00
Fiat 600e,50.8,150,305,167,490,31000.00
XPENG P7 Wing Edition,82.7,200,465,178,650,
Dacia Spring Electric 65 Extreme,25,125,160,156,170,
Skoda Enyaq Coupe iV 80,77,160,465,166,720,44825.00
Mercedes EQV 300 Long,90,160,310,290,310,87995.00
Mercedes EQB 250+,70.5,160,415,170,560,
Polestar 3 Long Range Dual motor,107,210,490,218,640,79900.00
Fisker Ocean Sport,75,160,380,197,480,35970.00
Toyota bZ4X AWD,64,160,315,203,470,52510.00
XPENG G9 RWD Standard Range,75,200,375,200,780,
Volvo XC40 Recharge Single Motor,66,180,345,191,420,46505.00
MG ZS EV Standard Range,49,175,265,185,250,30495.00
Skoda Enyaq iV 80x,77,160,425,181,590,50805.00
Smart #3,62,180,355,175,550,37000.00
Mini Cooper SE,49,170,310,158,440,34500.00
Polestar 2 Long Range Dual Motor,79,205,440,180,660,52950.00
Citroen e-C4 X,46.3,150,275,168,440,31995.00
Ford Mustang Mach-E ER RWD,91,180,480,190,420,59380.00
Hyundai IONIQ 6 Standard Range 2WD,54,185,365,148,900,
NIO ET7 75 kWh,70.5,200,400,176,540,
Renault Megane E-Tech EV60 130hp,60,150,380,158,530,
Polestar 2 Standard Range Single Motor,67,205,390,172,460,44950.00
SsangYong Korando e-Motion,56,156,290,193,330,
Kia EV9 99.8 kWh RWD,95,185,445,213,810,64995.00
Mercedes EQA 250,66.5,160,395,168,570,
BYD DOLPHIN 44.9 kWh Boost,44.9,160,255,176,260,28500.00
Peugeot e-2008 54 kWh,50.8,150,300,169,480,36350.00
Hongqi E-HS9 84 kWh,76.5,200,320,239,440,
Fisker Ocean Extreme,106.5,205,530,201,630,60880.00
BMW i5 M60 xDrive Sedan,81.2,230,425,191,630,97745.00
Jaguar I-Pace EV400,84.7,200,380,223,360,69995.00
Volkswagen ID.5 Pro,77,160,430,179,660,50710.00
Mercedes EQE SUV 350 4MATIC,90.6,210,435,208,650,90560.00
Peugeot e-308 SW,50.8,150,300,169,450,38000.00
Mercedes EQS 450 4MATIC,107.8,210,605,178,900,
Audi SQ8 e-tron,106,210,455,233,570,97500.00
Skoda Enyaq iV 50,52,160,305,170,250,
XPENG P7 RWD Long Range,82.7,200,495,167,690,
CUPRA Tavascan VZ,77,180,410,188,610,55000.00
Lucid Air Dream Edition P,118,270,665,177,840,
Mercedes EQS AMG 53 4MATIC+,107.8,250,540,200,810,161860.00
Volvo C40 Recharge Twin Motor,79,180,400,198,600,53605.00
Nissan Ariya 63kWh,63,160,335,188,450,39645.00
Lucid Air Grand Touring,112,270,665,168,840,
Volvo EX90 Twin Motor,107,180,465,230,610,96255.00
Peugeot e-208 51 kWh,48.1,150,310,155,480,35000.00
Opel Corsa Electric 51 kWh,48.1,150,315,153,490,35475.00
Renault Megane E-Tech EV40 130hp,40,150,260,154,370,
ORA Funky Cat 48 kWh,45.4,160,260,175,240,31995.00
Honda e Advance,28.5,145,170,168,180,37395.00
Opel Astra Sports Tourer Electric,50.8,170,300,169,480,42000.00
Lotus Eletre R,109,260,455,240,950,120000.00
Mercedes EQA 350 4MATIC,66.5,160,350,190,500,54510.00
VinFast VF 9 Extended Range,123,200,520,237,520,
Mercedes EQA 250+,70.5,160,425,166,590,50000.00
Mercedes EQE AMG 43 4MATIC,90.6,210,465,195,690,
Volkswagen ID.4 Pure Performance,52,160,285,182,360,40275.00
Kia EV6 Standard Range 2WD,54,185,305,177,750,
Mercedes EQE SUV 500 4MATIC,90.6,210,435,208,650,108760.00
Audi Q4 Sportback e-tron 40,76.6,160,425,180,660,52130.00
Volvo C40 Recharge Single Motor ER,79,180,420,188,630,
Mercedes EQS 500 4MATIC,107.8,210,590,183,880,
Peugeot e-2008 50 kWh,46.3,150,270,171,430,
Hyundai Kona Electric 48 kWh,48.4,160,295,164,280,34995.00
Porsche Taycan Plus,83.7,230,485,173,1190,83654.00
Mercedes EQA 300 4MATIC,66.5,160,350,190,500,53010.00
CUPRA Tavascan Endurance,77,180,425,181,630,50000.00
Renault Kangoo E-Tech Electric,45,132,220,205,230,
Kia EV9 99.8 kWh AWD GT-Line,95,200,415,229,750,73245.00
Mercedes EQS SUV 450+,108.4,210,500,217,650,
Mini Countryman E,64.7,170,380,170,550,42080.00
Smart #3 Brabus,62,180,330,188,510,45000.00
Ford Mustang Mach-E ER AWD,91,180,440,207,390,65405.00
Mercedes EQB 350 4MATIC,66.5,160,345,193,500,57000.00
Opel Corsa Electric 50 kWh,46.3,150,295,157,470,32445.00
MG MG5 Electric Standard Range,46,185,265,174,320,
NIO EL7 100 kWh,90,200,430,209,450,
XPENG G9 RWD Long Range,94,200,470,200,980,
Maserati GranTurismo Folgore,83,320,425,195,990,200000.00
Zeekr X Long Range RWD,64,180,360,178,540,
Zeekr 001 Privilege AWD,94,200,500,188,700,
Seres 3,51,155,260,196,240,
NIO ET7 100 kWh,90,200,505,178,530,
NIO ET5 75 kWh,70.5,200,395,178,530,
Mercedes EQB 250+,70.5,160,410,172,550,
Aiways U5,60,150,315,190,380,
Volkswagen ID.5 Pro Performance,77,160,430,179,660,52185.00
Porsche Taycan GTS,83.7,250,450,186,1110,110200.00
Volvo EX90 Twin Motor Performance,107,180,450,238,590,100555.00
Ford Mustang Mach-E SR RWD,70,180,375,187,390,50830.00
Lexus UX 300e,64,160,340,188,170,47495.00
DS 3 E-Tense,50.8,150,300,169,480,37200.00
BMW i7 eDrive50,101.7,205,520,196,780,100205.00
Volkswagen ID.5 GTX,77,180,405,190,560,56545.00
Volvo C40 Recharge Single Motor,66,180,355,186,430,48355.00
Polestar 3 Long Range Performance,107,210,470,228,610,85500.00
Lucid Air Pure AWD,92,200,590,156,990,
Mini Countryman SE ALL4,64.7,180,370,175,530,47180.00
Audi Q4 e-tron 45 quattro,76.6,180,385,199,550,
Volkswagen ID.4 Pro 4MOTION,77,180,405,190,560,
Audi Q8 e-tron Sportback 50 quattro,89,200,445,200,690,70300.00
Mercedes EQA 250,66.5,160,405,164,580,48000.00
Ford Mustang Mach-E GT,91,200,425,214,380,74540.00
Porsche Taycan,71,230,420,169,1030,79200.00
Kia e-Soul 64 kWh,64,167,370,173,350,39045.00
NIO ET5 Touring 100 kWh,90,200,485,186,500,
XPENG G9 AWD Long Range,94,200,440,214,920,
ORA Funky Cat 63 kWh,59.3,160,340,174,240,
Genesis GV60 Premium,74,185,390,190,1020,53905.00
Mercedes EQE 500 4MATIC,90.6,210,485,187,720,
Citroen e-Berlingo M 50 kWh,46.3,135,205,226,330,32315.00
Lucid Air Touring,92,250,580,159,970,
Smart #1 Pulse,62,180,320,194,490,
Mercedes EQE AMG 53 4MATIC+,90.6,220,465,195,690,114750.00
Polestar 2 Long Range Performance,79,205,420,188,630,57950.00
Genesis GV70 Electrified Sport,74,235,350,211,860,65105.00
Volvo EX90 Single Motor,101,180,460,220,600,
Mercedes EQE 350 4MATIC,90.6,210,485,187,720,
Mini Cooper E,37,160,235,157,360,30000.00
Audi Q4 Sportback e-tron 50 quattro,76.6,180,400,192,570,58510.00
Skoda Enyaq Coupe iV 60,58,160,355,163,480,
Nissan Ariya e-4ORCE 87kWh - 225 kW,87,200,405,215,480,50845.00
Fiat 500e 3+1 42 kWh,37.3,150,235,159,390,
Mercedes eVito Tourer Long 90 kWh,90,160,310,290,310,76368.00
Mercedes EQS SUV 450 4MATIC,108.4,210,490,221,640,129470.00
Peugeot e-208 50 kWh,46.3,150,290,160,460,32000.00
BMW i7 M70 xDrive,101.7,250,490,208,730,163315.00
Citroen e-C4 54 kWh,50.8,150,320,159,460,
Elaris BEO 86 kWh,81,150,390,208,290,
Skoda Enyaq iV RS,77,180,420,183,580,52670.00
BYD SEAL 82.5 kWh RWD Design,82.5,180,500,165,550,44990.00
Fiat 500e Hatchback 24 kWh,21.3,135,135,158,230,28195.00
NIO ET5 Touring 75 kWh,70.5,200,385,183,520,
Maserati Grecale Folgore,95,220,405,235,440,135000.00
Mercedes EQE 300,89,210,515,173,650,
Skoda Enyaq Coupe iV 80x,77,160,450,171,630,52505.00
Audi SQ8 e-tron Sportback,106,210,480,221,610,100000.00
Mercedes EQB 300 4MATIC,66.5,160,345,193,500,55000.00
Audi Q4 Sportback e-tron 35,52,160,295,176,370,
Porsche Taycan Turbo S,83.7,260,430,195,1060,148300.00
NIO EL6 100 kWh,90,200,440,205,460,
Genesis G80 Electrified Luxury,82.5,225,440,188,880,69805.00
Porsche Taycan 4S Plus,83.7,250,480,174,1180,94996.00
VinFast VF 8 Plus Standard Range,82,200,400,205,560,
Ford Mustang Mach-E SR AWD,70,180,345,203,360,
Fiat 500e Cabrio 42 kWh,37.3,150,230,162,380,34195.00
VinFast VF 9 Standard Range,92,200,400,230,540,
Opel Vivaro-e Combi M 75 kWh,68,130,265,257,290,
Mercedes EQE SUV AMG 53 4MATIC+,90.6,240,410,221,610,133860.00
Mini Cooper SE Convertible,28.9,150,165,175,230,52500.00
Toyota PROACE Verso L 75 kWh,68,130,260,262,280,
ORA Funky Cat GT,59.3,160,330,180,230,
Mercedes EQS SUV 500 4MATIC,108.4,210,490,221,640,
Porsche Taycan 4 Cross Turismo,83.7,220,440,190,1080,88200.00
Mercedes EQA 350 4MATIC,66.5,160,355,187,510,55000.00
XPENG P7 AWD Performance,82.7,200,460,180,640,
Mercedes EQE 350,89,210,510,175,640,
Peugeot e-Rifter Standard 50 kWh,46.3,135,205,226,330,33120.00
Nissan Ariya e-4ORCE 87kWh - 290 kW,87,200,405,215,480,
Toyota Proace City Verso Electric L2 50 kWh,46.3,135,205,226,330,
Porsche Taycan 4S,71,250,415,171,1020,90700.00
Citroen e-C4 X 54 kWh,50.8,150,305,167,440,
Toyota Proace City Verso Electric L1 50 kWh,46.3,135,210,220,330,
CUPRA Born 170 kW - 58 kWh,58,160,345,168,460,39205.00
BYD SEAL 82.5 kWh AWD Excellence,82.5,180,485,170,530,47990.00
Toyota PROACE Verso M 75 kWh,68,130,265,257,290,
Mercedes EQT 200 Standard,45,132,225,200,230,
Peugeot e-Rifter Long 50 kWh,46.3,135,200,232,320,35120.00
Genesis GV60 Sport,74,200,380,195,990,58365.00
Aiways U6,60,160,350,171,430,
Fiat 500e 3+1 24 kWh,21.3,135,135,158,230,
Opel Combo-e Life 50 kWh,46.3,135,205,226,330,34085.00
Audi Q4 Sportback e-tron 45 quattro,76.6,180,400,192,570,
Peugeot e-Traveller Long 75 kWh,68,130,260,262,280,
Porsche Taycan 4S Cross Turismo,83.7,240,440,190,1080,95200.00
Kia e-Soul 39.2 kWh,39.2,157,230,170,200,32845.00
Peugeot e-Expert Combi Standard 75 kWh,68,130,265,257,290,
Mercedes eVito Tourer Extra-Long 90 kWh,90,160,305,295,310,83850.00
Porsche Taycan Turbo S Sport Turismo,83.7,260,395,212,970,149300.00
Porsche Taycan Turbo S Cross Turismo,83.7,250,410,204,1010,149300.00
Mercedes EQV 250 Long,60,160,210,286,200,
Mercedes EQV 300 Extra-Long,90,160,310,290,310,
Mercedes EQA 300 4MATIC,66.5,160,355,187,510,53000.00
Citroen e-Jumpy Combi M 75 kWh,68,130,265,257,290,
Abarth 500e Hatchback,37.8,155,225,168,370,34195.00
Porsche Taycan GTS Sport Turismo,83.7,250,425,197,1050,111200.00
Mercedes EQE 350 4MATIC,89,210,475,187,600,
NIO EL6 75 kWh,70.5,200,350,201,470,
Citroen e-Berlingo XL 50 kWh,46.3,135,205,226,330,33315.00
Genesis GV60 Sport Plus,74,235,365,203,950,67505.00
Mercedes EQE SUV AMG 43 4MATIC,90.6,210,415,218,620,
Peugeot e-Traveller Standard 50 kWh,46.3,130,185,250,290,42785.00
Opel Zafira-e Life L 75 kWh,68,130,260,262,280,
Porsche Taycan Sport Turismo,71,230,380,187,930,80200.00
Citroen e-SpaceTourer M 50 kWh,46.3,130,185,250,290,37045.00
Mercedes EQE 350,89,210,510,175,640,77345.00
Fiat E-Ulysse L3 75 kWh,68,130,260,262,280,
VinFast VF 8 Eco Extended Range,87.7,200,425,206,550,
Porsche Taycan Turbo,83.7,260,445,188,1090,125800.00
Porsche Taycan Plus Sport Turismo,83.7,230,445,188,1090,84654.00
Peugeot e-Expert Combi Long 75 kWh,68,130,260,262,280,
Opel Combo-e Life XL 50 kWh,46.3,135,200,232,320,34685.00
VinFast VF 8 Eco Standard Range,82,200,405,202,560,
Toyota PROACE Shuttle M 75 kWh,68,130,265,257,290,
Opel Zafira-e Life M 50 kWh,46.3,130,185,250,290,42735.00
Abarth 500e Convertible,37.8,155,225,168,370,37195.00
Porsche Taycan 4S Sport Turismo,71,250,370,192,910,91700.00
Fiat 500e Cabrio 24 kWh,21.3,135,135,158,230,
Mercedes EQE AMG 43 4MATIC,90.6,210,465,195,690,
Opel Vivaro-e Combi M 50 kWh,46.3,130,185,250,290,36995.00
Mercedes eVito Tourer Long 60 kWh,60,160,210,286,310,
NIO EL7 75 kWh,70.5,200,340,207,460,
Mercedes EQE 500 4MATIC,90.6,210,485,187,720,
Citroen e-SpaceTourer M 75 kWh,68,130,265,257,290,
Porsche Taycan Turbo Sport Turismo,83.7,260,405,207,1000,126800.00
VinFast VF 8 Plus Extended Range,87.7,200,425,206,550,
Toyota PROACE Shuttle M 50 kWh,46.3,130,185,250,290,
Citroen e-SpaceTourer XL 75 kWh,68,130,260,262,280,
Mercedes eVito Tourer Extra-Long 60 kWh,60,160,205,293,300,
Mercedes EQE AMG 53 4MATIC+,90.6,220,465,195,690,
Fiat E-Ulysse L2 75 kWh,68,130,265,257,290,
Opel Zafira-e Life L 50 kWh,46.3,130,180,257,290,43575.00
Opel Vivaro-e Combi L 75 kWh,68,130,260,262,280,
Peugeot e-Traveller Standard 75 kWh,68,130,265,257,290,
Citroen e-Jumpy Combi M 50 kWh,46.3,130,185,250,290,
Porsche Taycan 4S Plus Sport Turismo,83.7,250,430,195,1060,95996.00
Mercedes EQV 250 Extra-Long,60,160,210,286,200,
Citroen e-SpaceTourer XL 50 kWh,46.3,130,180,257,290,37885.00
Fiat E-Ulysse L3 50 kWh,46.3,130,180,257,290,
Porsche Taycan Turbo Cross Turismo,83.7,250,425,197,1050,126800.00
Toyota PROACE Shuttle L 75 kWh,68,130,260,262,280,
Opel Zafira-e Life M 75 kWh,68,130,265,257,290,
Opel Vivaro-e Combi L 50 kWh,46.3,130,180,257,290,37835.00
Toyota PROACE Shuttle L 50 kWh,46.3,130,180,257,290,
Citroen e-Jumpy Combi XL 75 kWh,68,130,260,262,280,
Fiat E-Ulysse L2 50 kWh,46.3,130,185,250,290,
Peugeot e-Expert Combi Standard 50 kWh,46.3,130,185,250,290,
Peugeot e-Traveller Long 50 kWh,46.3,130,185,250,290,43625.00
Citroen e-Jumpy Combi XL 50 kWh,46.3,130,180,257,290,
Peugeot e-Expert Combi Long 50 kWh,46.3,130,185,250,290,
